,Type,SMS
2947,ham,make fuck sake x
2948,ham,leav u alway ignor
2949,ham,nope b go sch fri quit earli lor co si got paper da morn
2950,ham,bruce b amp fletcher
2951,ham,said would woke
2952,ham,hey free call
2953,ham,tell thi pl
2954,spam,urgent mobil wa award bonu caller prize final attempt contact u call
2955,ham,think might give miss teach til twelv lectur two damn thi work thing
2956,ham,id check onli like bowl worth left
2957,ham,ye mani sweet
2958,ham,would still cozi exhaust last nightnobodi went school work everyth close
2959,spam,u secret admir reveal think u r special call opt repli reveal stop per msg recd cust care
2960,ham,buzzzz grins buzz ass buzz chest buzz cock keep phone vibrat feel shake
2961,ham,sir send group mail check
2962,ham,da intro cover energi trend n pro n con brief descript nuclear fusion n oso brief histori iter n jet got abt n half pages
2963,ham,none nowher ikno doesdiscount shitinnit
2964,ham,dont know jabo abi
2965,spam,ever notic drive anyon go slower idiot everyon drive faster maniac
2966,ham,yet hadya sapna aunti maneg yday hogidhechinnu full weak swalpa black agidhane
2967,ham,good babi
2968,ham,neft transact refer number lt gt rs lt decim gt ha credit beneficiari account lt gt lt time gt lt gt
2969,ham,mostli sport typelyk footbl crckt
2970,ham,head dey swell oh thank make day
2971,ham,u make fb list
2972,ham,height confid aeronaut professor wer calld amp wer askd sit aeroplan aftr sat wer told dat plane ws made student dey hurri plane bt onli didnt move said made student thi wont even start datz confidence
2973,ham,sari need tim bollox hurt lot tol
2974,ham,happi new year princess
2975,ham,text carlo let know hang
2976,ham,nt worri easi onc ingredi
2977,ham,love u littl poci bell sorri love u
2978,ham,ok omw castor
2979,ham,yar lor keep rain non stop u wan go elsewher
2980,spam,xma offer latest motorola sonyericsson nokia free bluetooth dvd doubl min txt orang call mobileupd calloptoutqf
2981,ham,u mean u almost done done wif sleep tot u go take nap yup send liao pick ard smth lor
2982,ham,wonder world th th ur style th ur smile th ur person rd ur natur nd ur sm st ur love friendship good morn dear
2983,ham,tonight yeah
2984,ham,eat fo lunch senor
2985,ham,said right giggl saw u would possibl first persondi nvq think much could
2986,ham,break time one come n get stuff fr ü
2987,spam,repli win weekli profession sport doe tiger wood play send stop end servic
2988,ham,see ca nt see mayb reboot ym seen buzz
2989,ham,still grinder
2990,spam,polyphon tone ur mob everi week txt pt st tone free get txtin tell ur friend ptone repli hl info
2991,ham,love nt decis feel could decid love life would much simpler less magic
2992,spam,hot live fantasi call p per min ntt ltd po box croydon cr wb nation rate call
2993,ham,ki didt see k
2994,ham,list buyer
2995,ham,idea guess work hour suppos leav sinc usual nobodi ha ani interest figur shit befor last second
2996,ham,mm entir sure understood text hey ho weekend
2997,ham,releas vday shirt u put make bottom half nake instead white underwear
2998,ham,knowh watch film computer
2999,ham,b thursday
3000,ham,oh phone phone disconnect
3001,ham,id onluy matter get offcampu
3002,spam,thi messag free welcom new improv sex dog club unsubscrib thi servic repli stop msg p onli
3003,ham,excel see riley plan
3004,ham,see half hour
3005,spam,tkt euro cup final cash collect call b pobox ppm
3006,ham,ew one
3007,ham,also hi wesley
3008,ham,ah see lingo let know wot earth ha finish make
3009,spam,loan ani purpos homeown tenant welcom previous refus still help call free text back help
3010,spam,updatenow mth half price orang line rental min call mobileupd calloptoutjq
3011,ham,imagin life without see fast u search nt worry l alway disturb u goodnoon
3012,ham,hm good morn headach anyon
3013,ham,yeah prob last night obvious catch speak soon
3014,spam,free unlimit hardcor porn direct mobil txt porn get free access hr chrgd p per day txt stop exit thi msg free
3015,ham,might go sch yar e salon v bore
3016,ham,lt gt min stop somewher first
3017,ham,lt gt fast approach wish u veri happi new year happi sankranti happi republ day happi valentin day happi shivratri happi ugadi happi fool day happi may day happi independ day happi friendship mother father teacher children day amp happi birthday u happi ganesh festiv happi dasara happi diwali happi christma lt gt good morn afternoon even night rememberi first wish u raj
3018,ham,one joy lifei wake daywith thought somewheresomeon care enough tosend warm morn greeting
3019,ham,nt get second half messag
3020,ham,wat time u wan meet later
3021,ham,thank much selfless love plenti
3022,ham,film ill call later
3023,ham,dare chang ring
3024,ham,veri veri veri veri bad girl ladi
3025,ham,love ya tri budget money better babe gari would freak knew
3026,ham,part nt initi nt understand
3027,ham,finish lunch alreadi u wake alreadi
3028,ham,still game
3029,ham,got tallent wast
3030,ham,record one night
3031,ham,also sir sent email log usc payment portal ill send anoth messag explain thing back home great weekend
3032,ham,gon na let know co come bak holiday day come dontgettext number
3033,ham,jokin onli lar depend phone father get lor
3034,ham,aight lem know
3035,ham,get readi lt gt inch pleasur
3036,ham,rajipl favour pl convey birthday wish nimya pl today birthday
3037,ham,ok feel like john lennon
3038,ham,co darren say ü consid mah ask ü
3039,ham,bother trust answer pl
3040,ham,wish famili merri x happi new year advance
3041,ham,one day crab wa run sea shoreth wave came n clear footprint crab crab ask frnd r u clear beauti footprint wave repli fox wa follow ur footprint catch clear frndsship never let u dwn gud nyt
3042,ham,aight time want come
3043,ham,slaaaaav must summon time nt wish come anymor
3044,ham,bill bad
3045,ham,let know chang next hr even appendix age rang howev imposs chill let know hr
3046,ham,hello yeah got bath need hair come done yeah
3047,ham,weather
3048,ham,ok much though h friday cant wait dunno wot hell im gon na anoth week becom slob oh wait alreadi done
3049,ham,die e toot fring
3050,ham,lol nt know awesom phone could click delet right want
3051,ham,ok
3052,ham,awesom question cute answer someon ask boy ur life smile amp answer fine gudnit
3053,ham,pleas leav thi topicsorri tell
3054,ham,pl send correct name da
3055,ham,happen yo date
3056,spam,eastend tv quiz flower doe dot compar violet e tulip f lili txt e f chanc win cash wkentp
3057,ham,webpag avail
3058,ham,woke yeesh late nt fall asleep til lt gt
3059,spam,unsubscrib servic get ton sexi babe hunk straight phone go http gotbabescouk subscript
3060,ham,dear know lt gt th lt gt th birthday love gopalettan plan give small gift day like particip welcom pleas contact admin team detail
3061,ham,kk tomorrow onward start ah
3062,ham,u talk bout earli morn almost noon
3063,ham,fine rememb
3064,spam,hi babe jordan r u im home abroad lone text back u wan na chat xxsp visionsmscom text stop stopcost p
3065,ham,ok mani buy
3066,ham,sound good keep post
3067,spam,get brand new mobil phone agent mob plu load goodi info text mat
3068,ham,ok april cant wait
3069,ham,boy best get yo ass quick
3070,ham,ay wana meet sat ü wkg sat
3071,ham,wait till bu pick
3072,ham,apart one told yesterday
3073,ham,ok lor buy wat
3074,ham,somebodi go andro steal ice
3075,ham,know didt msg recent
3076,ham,take us shop mark distract isaiahd
3077,ham,mum hope great day hope thi text meet well full life great day abiola
3078,ham,sens foot peni
3079,ham,okay thought expert
3080,ham,deep sigh miss realli surpris nt gone net cafe yet get nt miss
3081,ham,thinl role like sachinjust stand hit
3082,ham,great trip india bring light everyon project everyon lucki see smile bye abiola
3083,ham,veri importantli discuss u onli
3084,ham,kk train process
3085,ham,ok lor ned go toa payoh return smth u wan send wat
3086,ham,da car park
3087,ham,wish wa hold tightli make see import much mean much need life
3088,ham,ask anthoni dad bf
3089,ham,wnevr wana fal luv vth book bed fal luv vth yen madodu nav pretsorginta nammanna pretsovru import alwa gud eveb
3090,ham,todaysundaysunday holidayso work
3091,ham,go take bath ill place key window
3092,spam,lord ring return king store repli lotr june chanc win lotr soundtrack cd stdtxtrate repli stop end txt
3093,ham,dear take care reach homelov u lot
3094,ham,staffsciencenusedusgphyhcmkteachingpc
3095,ham,emigr someth ok mayb wa bit hope
3096,ham,olol print forum post guy exact prob wa fix gpu replac hope dont ignor
3097,ham,walk mom right stagwood pass right winterston left victor hill address lt gt
3098,ham,yo jp hungri like mofo
3099,ham,thi creepi crazi
3100,ham,ok din get ur msg
3101,ham,tessypl favor pl convey birthday wish nimyapl dnt forget today birthday shija
3102,ham,pathaya enketa maraikara pa
3103,ham,even friend priest call
3104,ham,u lousi run alreadi come back half dead hee
3105,ham,said bad dat e gal know u wat u
3106,ham,remind hr
3107,ham,hope would send thi messag rent due dont enough reserv complet gone loan need wa hope could balanc lt gt way could get till mid march hope pay back
3108,ham,hi happi new year dont mean intrud pl let know much tuition paid last semest much thi semest thank
3109,ham,hello hun ru way im good date guy met walkabout far meet soon everyon els
3110,ham,lol wa gon na last month cash left lt gt case wa collect dure week caus announc blog
3111,spam,good luck draw take place th feb good luck remov send stop custom servic
3112,ham,short cute good person dont tri prove gud mrng
3113,ham,nt decid yet eh
3114,ham,wat time liao still got
3115,ham,ye watch footi worri go blow phil nevil
3116,ham,wait ü insid da car park
3117,ham,uncl abbey happi new year abiola
3118,ham,free call pa
3119,ham,r u say order slipper co pay return
3120,ham,stop know well
3121,ham,good even thi roger
3122,ham,small problem auction punj ask tiwari
3123,spam,free entri weekli comp chanc win ipod txt pod get entri std txt rate c appli detail
3124,ham,tell tell ani one treat hi hi hi
3125,ham,uncl atlanta wish guy great semest
3126,spam,st wk free gr tone str u wk txt nokia classic nokia tone hit poli nokiap polyp
3127,ham,u come pick
3128,ham,cool like photo veri sexi
3129,ham,would u fuckin believ didnt know thur pre book cancel need b sack
3130,ham,haha better late ever ani way could swing
3131,ham,ok finish
3132,spam,lookatm thank purchas video clip lookatm charg p think better whi send video mmsto
3133,ham,bar b q store life thi twat orang dungere came ask want deck got first punch
3134,ham,messag food
3135,ham,ok go sleep hope meet
3136,ham,wat make peopl dearer de happi dat u feel u meet de pain u feel u miss dem
3137,ham,let know detail fri u find co tom fri mention chines thank
3138,ham,right think
3139,ham,wat r u
3140,ham,ur lectur
3141,spam,sexi sexi cum text im wet warm readi porn u fun thi msg free recd msg p inc vat cancel text stop
3142,ham,custom place call
3143,ham,plan yet go join compani jan onlydon know happen
3144,ham,boy love u grl hogolo boy gold chain kodstini grl agalla boy necklac madstini grl agalla boy hogli mutai eerulli kodthini grl love u kano
3145,ham,haha heard text around
3146,ham,ill get tomorrow send
3147,ham,shit babe thasa bit mess upyeh shudvetold u urgran know neway illspeak umoro wen im asleep
3148,ham,oh late well good night give u call tomorrow iam go go sleep night night
3149,ham,cheer u tex mecaus u werebor yeah okden hunni r uin wk sat sound likeyour havin grfun j keep updat countinlot lovem xxxxx
3150,ham,sorri meet call later
3151,ham,yo howz u girl never rang india l
3152,ham,yeah wors
3153,spam,hard live chat pmin choos girl connect live call cheap chat uk biggest live servic vu bcmwcnxx
3154,ham,tag friend seem count friend
3155,spam,heard u call rude chat privat line cum wan c pic gettin shag text pix end send stop sam xxx
3156,ham,ok
3157,ham,long time rememb today
3158,ham,havent shop lor juz arriv onli
3159,ham,thank u better work caus feel use otherwis
3160,ham,challeng know
3161,ham,much ur hdd case cost
3162,ham,mysteri solv open email sent anoth batch nt sweeti
3163,ham,ca nt describ lucki actual awak noon
3164,spam,thi nd time tri contact u u prize claim call b csstop sm ppm
3165,ham,today sorri day ever wa angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good
3166,ham,cheer card time year alreadi
3167,spam,hot live fantasi call p per min ntt ltd po box croydon cr wb k
3168,ham,peopl see msg think iam addict msging wrong bcoz dont know iam addict sweet friends bslvyl
3169,ham,ugh hope asu ppl dont randomli reformat
3170,ham,nt seen facebook huh lol
3171,ham,mah b pick tomorrow
3172,ham,still otsid leu come morrow maga
3173,ham,u still plumber tape wrench could borrow
3174,spam,dear voucher holder claim thi week offer pc pleas go http wwwetlpcoukreward ts cs appli
3175,ham,vl bcum difficult
3176,spam,ur go bahama callfreefon speak live oper claim either bahama cruis cash onli opt txt x
3177,ham,havent still waitin usual ü come back sch oredi
3178,ham,meet da call
3179,ham,k k watch film
3180,ham,doe cinema plu drink appeal tomo fr thriller director like mac
3181,ham,size eleph tablet u shove um ur ass
3182,ham,mani peopl seem special first sight onli veri remain special till last sight maintain till life ends take cr da
3183,ham,parent kidz friend n colleagu screaming surpris wa wait sofa nake
3184,ham,dunno juz askin co got card got salon call hair sens tot da one ü cut ur hair
3185,ham,good morn pooki pie lol hope nt wake u
3186,ham,mayb woke befor fuck thi would nt problem
3187,ham,happi birthday dearwith lot loverakhesh nri
3188,ham,howz person stori
3189,spam,thi nd time tri contact u u pound prize claim easi call onli p per min btnationalr
3190,ham,x lt gt go get
3191,ham,hi neva worri bout da truth coz truth lead ur heart least uniqu person like u deserv sleep tight morn
3192,spam,ur award citi break could win summer shop spree everi wk txt store skilgmetscswinawk age perwksub
3193,ham,ur paper today e morn aft
3194,ham,lick everi drop readi use mouth well
3195,ham,expect whenev text hope goe well tomo
3196,ham,great p diddi neighbor come toothpast everi morn
3197,ham,av new number wil u onli use thi one ta
3198,ham,poke man everyday teach canada abi say hi
3199,ham,lor chang suntec wat time u come
3200,ham,deam see onlin shop ask
3201,ham,curiou becaus cuz ask wa
3202,ham,nicenicehow work
3203,ham,okay lor wah like def wont let us go haha say term condit
3204,ham,haha yup hope lose kg mon hip hop go orchard weigh
3205,ham,good r u work
3206,ham,oh ye littl weather kind coccoon home
3207,ham,home also
3208,ham,thi phone ha weirdest auto correct
3209,ham,oop phone die nt even know yeah like better
3210,ham,havent mu ask u st wat meet lunch den u n meet alreadi lor u wan go ask da ge st confirm w asap
3211,ham,said u mind go bedroom minut ok sed sexi mood came minut latr wid cake n wife
3212,ham,oh yeah hav great time newquaysend postcard look girl im gone u know im talkin bout xx
3213,ham,got divorc lol
3214,ham,ur pin
3215,ham,babe got enough money pick bread milk give back get home
3216,ham,want snow freez windi
3217,spam,urgent tri contact u today draw show prize guarante call land line claim valid hr onli
3218,ham,come mahal bu stop lt decim gt
3219,ham,know thi week go tirunelvai da
3220,ham,babi promis treat well bet take good care
3221,ham,like hotel dusk game think solv puzzl area thing
3222,spam,thank rington order refer number x mobil charg tone arriv pleas call custom servic
3223,ham,hi love goe day fuck thi morn woke drop cell way stair seem alright phews miss
3224,ham,well must pain catch
3225,ham,sorri da thangamit mistak
3226,ham,need coz never go befor
3227,ham,rose red red blood blood heart heart u u send ti ur friends includ u like u get back u r poor relat u need support u r frnd mani luv u pray god marri u tri
3228,ham,wifehow knew time murder exactli
3229,spam,six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info
3230,spam,ur cashbal current pound maxim ur cashin send collect onli pmsg cc po box tcrw
3231,ham,feel like dick becaus keep sleep text facebook messag sup town
3232,ham,plm come da way
3233,ham,guess want alon time could show watch
3234,ham,height recycl read twice peopl spend time earn money money spent spend time good morning keep smile
3235,ham,yup ü comin
3236,ham,ye princess toledo
3237,ham,aight text back mu swing need somebodi get door
3238,ham,ron say fri leh n said ding tai feng cant make reserv said wait lor
3239,ham,good swimsuit allow
3240,ham,okay soon best
3241,ham,cute thought friendship necessari share everi secret ur close frnd watev u share true
3242,ham,ok sent u da latest version da project
3243,ham,good morn dear great amp success day
3244,ham,pl accept one day beg chang number
3245,ham,squeeeeez thi christma hug u lik frndshp den hug back u get u r cute u r luvd u r lucki none peopl hate u
3246,ham,ok anybodi ask abt u tel p
3247,ham,funni fact nobodi teach volcano erupt tsunami aris hurrican sway aroundn teach hw choos wife natur disast happen
3248,ham,gon na ring thi weekend wot
3249,ham,also track ani lighter find
3250,ham,sorri ca nt help thi
3251,ham,babe need advic
3252,ham,leav around four ok
3253,ham,come medic colleg pm forward da
3254,ham,k kit good go
3255,ham,make lasagna vodka
3256,ham,hi kate u give ring asap xxx
3257,ham,peopl tour thought sofa thing sent curiou sugar
3258,ham,told go befor got drunk
3259,ham,fuck chicken messag would late woould buzz nt hear word
3260,spam,congratul thank good friend u xma prize claim easi call onli p per minut btnationalr
3261,ham,alway look excus citi
3262,ham,yup still coffe wif fren fren drove give lift
3263,ham,shore takin bu
3264,ham,u gon na get deu ex
3265,ham,send email mind lt gt time per night
3266,spam,want new nokia colour phone deliveredtomorrow free minut ani mobil free text free camcord repli call
3267,ham,tap spile seven pub ga st broad st canal ok
3268,ham,ok come n pick u engin
3269,ham,whi never want tell ani thi whi short onedg late
3270,ham,raviyog peripher bhayandar east
3271,ham,k actual guy meet sunoco howard right way
3272,spam,new voicemail pleas call
3273,ham,moon ha come color dream star make music sm give warm peac sleep good night
3274,ham,finish eat got u plate leftov thi time
3275,ham,thanx lot
3276,ham,hurri home u big butt hang last caller u food done starv nt ask cook
3277,ham,lol right diet everyday cheat anyway meant fatti
3278,ham,great day beauti one
3279,ham,happen interview
3280,ham,solv case man wa found murder lt decim gt lt gt afternoon hi wife call polic polic question everyon wife sir wa sleep murder took place cook wa cook garden wa pick veget housemaid went post offic children went play neighbour went marriag polic arrest murder immedi repli reason u r brilliant
3281,ham,badrith onli chennai sure pick us competit
3282,ham,tot group mate lucki havent repli wat time ü need leav
3283,ham,hey around got enough half ten owe
3284,ham,hey tmr mayb meet yck
3285,ham,alrit sam nic checkin thi ur numberso tb
3286,ham,make easi pay back lt gt yr say pay back earlier get
3287,ham,worri sure get
3288,ham,ga station like block away hous drive right sinc armenia end swann take howard
3289,spam,someon u know ha ask date servic contact cant guess call reveal pobox lshb p
3290,spam,camera award sipix digit camera call fromm landlin deliveri within day
3291,ham,tuition hm go one mind
3292,ham,smoke peopl use wyli smoke much justifi ruin shit
3293,ham,dear good morn feel dear
3294,ham,littl med say take onc everi hour onli pain back took anoth hope nt die
3295,ham,beauti tomorrow never comes come alreadi today hunt beauti tomorrow nt wast wonder today goodmorn
3296,ham,dunno lei ü decid lor abt leona oop tot ben go n msg
3297,ham,hi move pub would great c u u cud come
3298,spam,today voda number end select receiv award hava match pleas call quot claim code standard rate app
3299,spam,thi messag free welcom new improv sex dog club unsubscrib thi servic repli stop msg p onli
3300,ham,honeybe said sweetest world god laugh amp said wait u havnt met person read thi msg moral even god crack joke gmgngegn
3301,ham,ever easier
3302,spam,rct thnq adrian u text rgd vatian
3303,ham,stop call everyon say might cancer throat hurt talk ca nt answer everyon call get one call babysit monday
3304,ham,tough
3305,ham,im gonnamissu much would say il send u postcard butther abouta much chanc merememberin asther ofsi breakin hi contract luv yaxx
3306,ham,ee msg na poortiyagi odalebeku hanumanji name hanuman bajarangabali maruti pavanaputra sankatmochan ramaduth mahav ee name lt gt janarig ivatt kalisidar next saturday olag ondu good news keluviri maretar ind dodda problum nalli siguviri idu matra lt gt true nt neglet
3307,ham,hi darlin finish u pick meet text back thi number luv kate xxx
3308,ham,set place heart mind mind easili forget heart alway rememb wish happi valentin day
3309,ham,surpris still guess right lor
3310,ham,oki ü wan meet bishan co bishan drive today
3311,ham,oh ho thi first time u use type word
3312,ham,hi darlin wa work u get troubl ijust talk mum morn realli good time last night im goin soon call u
3313,ham,know serv mean
3314,ham,huh hyde park mel ah opp got confus anyway tt e best choic den juz take
3315,ham,oh gei happend tron mayb ill dl
3316,spam,free messag activ free text messag repli thi messag word free term condit visit wwwcom
3317,ham,know girl alway safe selfish know got pa thank good night
3318,ham,worri hope photo shoot went well spif fun workag
3319,ham,freez crave ice fml
3320,ham,kay sinc alreadi
3321,ham,eh sorri leh din c ur msg sad alreadi lar watch tv u still offic
3322,ham,yo im right yo work
3323,ham,ok darlin supos wa ok worri muchi film stuff mate babysit call therexx
3324,ham,said u mind go bedroom minut ok sed sexi mood came minut latr wid cake n wife
3325,ham,wake sinc check stuff saw true avail space pl call embassi send mail
3326,ham,nope juz work
3327,ham,huh fast dat mean u havent finish paint
3328,ham,number u live
3329,ham,put parti day week studi lightli think need draw custom checkbox know hardcor
3330,ham,sac score big hundredh set batsman
3331,ham,send yetti number pl
3332,ham,much cost approx per month
3333,ham,ok theori test ü go book think may coz thought wan na go jiayin isnt free
3334,spam,contact date servic someon know find call land line poboxwtgp
3335,ham,fine give call know want ha ani question
3336,ham,sorri got late start way
3337,ham,u go back urself lor
3338,ham,ga station go
3339,ham,k u bore come home
3340,ham,babe love cover face kisses
3341,ham,like made throw smoke friend car one time wa awesom
3342,ham,still check da
3343,ham,go walmart ill stay
3344,ham,nt forgotten might coupl buck send tomorrow k love ya
3345,ham,oh great ill disturb talk
3346,ham,revers cheat mathemat
3347,ham,u welcom caught u use broken english
3348,ham,problem babi thi good time talk call left messag
3349,ham,sorri call later
3350,ham,oh brand
3351,ham,sorri cant take call right happen r waxsto wat want come ill get medic insur abl deliv basic care current shop right medic insur give til friday morn ill see major person guid right insur
3352,ham,time come
3353,ham,call say come today ok tell fool like thi ok
3354,ham,email yifeng part oredi ü get fr
3355,ham,r u sure understand wine good idea slurp
3356,ham,minimum walk mile day
3357,ham,ok problem get taxi c ing tomorrow tuesday tuesday think r go cinema
3358,ham,brainless babi doll vehicl sariyag drive madok barolla
3359,ham,nt run away frm u walk slowli amp kill u nt care enough stop
3360,spam,sorri miss call let talk time
3361,ham,pleas attend phone
3362,ham,onli hate call ani didnt accept even singl call mine even messag
3363,ham,messag phone hold
3364,ham,free
3365,ham,yo trip got postpon still stock
3366,ham,sorri call later
3367,ham,wait call sir
3368,ham,hey repli pa
3369,ham,hey elain today meet still
3370,ham,sorri gone place ill tomorrow realli sorri
3371,ham,tiim nt let hug nt break tear
3372,ham,tomorrow go theatr come wherev u call tell come tomorrow
3373,ham,electr went fml
3374,ham,look like found someth smoke great job
3375,ham,also andro ice etc etc
3376,ham,
3377,ham,good afternon love today hope good mayb interview wake miss babe passion kiss across sea
3378,ham,yup wun believ wat u realli neva c e msg sent shuhui
3379,ham,watch resiz
3380,ham,dear umma call
3381,ham,finish miss plenti
3382,spam,complimentari star ibiza holiday cash need urgent collect landlin lose boxskwpppm
3383,ham,well meant oppos drunken night befor
3384,ham,k must book huh go yoga basic sunday
3385,spam,free msg bill mobil number mistak shortcod pleas call charg refundedthi call free bt landlin
3386,ham,ok
3387,ham,oop mum somerset bit far back tomo see soon x
3388,ham,u workin overtim nigpun
3389,ham,kalli dismissi nd test
3390,ham,guess got screwd
3391,spam,pleas call immedi urgent messag wait
3392,ham,meet call later
3393,ham,r u cook dinner
3394,ham,ok thanx
3395,ham,bull plan wa go float ikea without care world live mess anoth day
3396,ham,buy
3397,spam,urgent mobil number ha award bonu caller prize call land line valid hr onli
3398,ham,heehe wa funni tho
3399,ham,onli doe simpl arithmet percentag
3400,ham,yeah would nt leav hour least sound
3401,spam,valu custom pleas advis follow recent review mob award bonu prize call
3402,ham,thank honey great day
3403,ham,amaz quot sometim life difficult decid wrong lie bring smile truth bring tear
3404,ham,good night dear sleepwel amp take care
3405,ham,ü ask dad pick ü lar ü wan stay meh
3406,ham,ju chillaxin
3407,ham,hey da cool iknow wellda peril studentfinanci crisi spk u lr
3408,ham,beauti truth gravity read care heart feel light someon feel veri heavi someon leav goodmorn
3409,spam,want new nokia colour phone deliveredtomorrow free minut ani mobil free text free camcord repli call
3410,ham,come hill monster hope great day thing r go fine busi though
3411,ham,joy father john john joy father u th hav lt gt iq ti ia question tri answer
3412,ham,onli onc ill obey
3413,ham,didnt search onlin let know
3414,ham,need go get
3415,ham,pic pleas resend
3416,ham,remain bro amongst bro
3417,ham,uhhhhrmm isnt tb test bad sick
3418,ham,haf enuff space got like mb
3419,spam,life ha never thi much fun great came made truli special wo nt forget enjoy one gbpsm
3420,spam,want new video phone anytim ani network min inclus video call download per week free deltomorrow call repli
3421,spam,valu custom pleas advis follow recent review mob award bonu prize call
3422,spam,welcom pleas repli age gender begin eg
3423,spam,freemsg month unlimit free call activ smartcal txt call subscriptngbpwk unlimit call help stop txt stop landlineonli
3424,spam,mobil mth updat latest orang cameravideo phone free save free textsweekend call text ye callback orno opt
3425,spam,new club dont fink met yet b gr c u pleas leav msg day wiv ur area repli promis carli x calls minmobsmor lkpoboxhpfl
3426,ham,true easier
3427,ham,sure sinc parent work tuesday nt realli need cover stori
3428,ham,haha okay today weekend leh
3429,ham,hi darlin youphon im athom youwanna chat
3430,ham,nt know jack shit anyth sayask someth help want pretend text whatev respons hypotheticalhuagauahahuagahyuhagga
3431,ham,alway braini one
3432,ham,yeah get random dude need chang info sheet parti lt gt never studi safe
3433,spam,camera award sipix digit camera call fromm landlin deliveri within day
3434,ham,christma occas celebr reflect ur valu desir affect amp tradit ideal christma
3435,ham,send greet joy happi gr even
3436,ham,hi darlin cantdo anythingtomorrow mypar aretak outfor meal u free katexxx
3437,ham,india win level seri mean thi record
3438,ham,plan
3439,ham,good hear
3440,ham,awesom deal gate charl told last night uh yeah
3441,ham,time thinkin goin
3442,spam,get free mobil video player free movi collect text go free extra film order c appli yr onli
3443,spam,save money wed lingeri wwwbridalpetticoatdreamscouk choos superb select nation deliveri brought weddingfriend
3444,ham,board work fine issu overh also reslov still softwar inst pend come around clock
3445,ham,ye nt care caus know
3446,ham,wiskey brandi rum gin beer vodka scotch shampain wine kudi yarasu dhina vaazhthukk
3447,ham,mon oki lor haha best cheap n gd food la ex oso oki depend whether wana eat western chines food den u prefer
3448,ham,sit ard noth lor u leh busi w work
3449,ham,lt gt k oh send home sale
3450,ham,sorri mail
3451,ham,ya tell abt tht incident
3452,ham,ye outsid like hour call whole famili wake caus start
3453,ham,ugh got outta class
3454,ham,nowaday peopl notixiqu laxinorf opportun bambl entrop ever oblising opt ur book masteriast amplikat fidalf veri champlaxig think atrocious wotz ur opinion junna
3455,ham,dont ani file bagi wa work call mei tell find anyth room
3456,ham,need lar ju test e phone card dunno network gd thk wait si finish bath bath dun disturb u liao u clean ur room
3457,ham,ok ill right later
3458,ham,friendship poem dear dear u r near hear dont get fear live cheer tear u r alway dear gud ni
3459,ham,lunch come quickli open door
3460,spam,heard u call night knicker make beg like u last time xx luv nikiyunet
3461,ham,back bit long co accid divert via wadebridgei brilliant weekend thank speak soon lot love
3462,ham,k yan jiu liao sat go bugi vill one frm den hop parco nb sun go cine frm den hop orc mrt hip hop
3463,spam,bloomberg messag center whi wait appli futur http career bloombergcom
3464,ham,seek ladi street freak sheet
3465,ham,phone
3466,ham,haha figur well found piec priscilla bowl
3467,ham,actual fuck whatev find excus tampa point befor januari though
3468,spam,urgent tri contact u today draw show prize guarante call land line claim validhr onli
3469,ham,yay final lol miss cinema trip last week
3470,ham,day work day except saturday sunday
3471,ham,aathiwher dear
3472,ham,heart empti without love mind empti without wisdom eye r empti without dream amp life empti without frnds alwi touch good night amp sweet dream
3473,ham,think wait bu inform get ever get
3474,ham,get back ani time soon
3475,ham,thing quick question
3476,ham,night ha end anoth day morn ha come special way may smile like sunni ray leav worri blue blue bay gud mrng
3477,ham,probabl come everybodi done around lt gt right
3478,ham,got befor new year co yetund said want surpris didnt see money return mid januari befor lt gt day return period end
3479,ham,ask around lot term mid
3480,ham,sure check yahoo email sent photo yesterday
3481,ham,wa look
3482,ham,wherr boytoy
3483,spam,want new video phone anytim ani network min text onli five pound per week call repli deliveri tomorrow
3484,ham,hello love goe day wish well fine babe hope find job prospect miss boytoy teas kiss
3485,ham,tell bad charact u dnt lik tri chang lt gt add tat new year resolut wait ur replyb frank good morn
3486,ham,got rumour go buy apart chennai
3487,ham,yeah probabl earlier
3488,ham,chang window logoff sound
3489,ham,still check da
3490,ham,also came room
3491,ham,huh got lesson lei n wa thinkin go sch earlier n tot parkin kent vale
3492,ham,ok
3493,ham,reach offic around lt decim gt amp mobil problem nt get voic call asa free
3494,ham,cool text head
3495,spam,contact date servic someon know find call land line poboxwtgp
3496,spam,wan win meetgreet westlif u current tour unbreak untam unkempt text cost p std text
3497,ham,happi birthday may u find ur princ charm soon n dun work hard
3498,ham,oh grand bit parti doe nt mention ani cover charg probabl first come first serv
3499,ham,said befor went back bed ca nt sleep anyth
3500,ham,hope arnt piss id would realli like see tomorrow love xxxxxxxxxxxxxx
3501,spam,dorothi kiefercom bank granit issu strongbuy explos pick member nasdaq symbol cdgt per
3502,ham,say lt gt year old man money last lt gt still wait check
3503,ham,come ur home
3504,ham,free ani day finish mon n thur
3505,ham,food
3506,ham,life mone eppolum oru pole allalo
3507,ham,nite
3508,ham,two fundament cool life walk like king walk like dont care whoever king gud nyt
3509,ham,camera quit good mega pixel optic digit doom love holiday safe hope hav good journey happi new year see coupl week
3510,ham,hi petey noi ok want chat coz avent spoken u long timehop ur doin alritehav good nit js love ya amx
3511,ham,saw ron burgundi captain parti boat yeah
3512,ham,seriou money base
